category,total_count,available_count,markdown_count,median_price,median_markdown_percent
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Indesit",3,,,114.5,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Kamille",1,,,,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Kela",1,1.0,,419.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Kuchenprofi",1,1.0,,283.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Pyramida",3,,,169.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Siemens",6,3.0,,5149.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь WPRO",5,,,114.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Whirlpool",2,,,,
"Інтернет магазин,Аксесуари до витяжних вентиляторів,Аксесуари до витяжних вентиляторів MiniMax",128,117.0,,76.0,
"Інтернет магазин,Аксесуари до витяжних вентиляторів,Аксесуари до витяжних вентиляторів airRoxy",24,17.0,1.0,296.0,18.556701030927837
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Best",13,5.0,1.0,614.0,57.41687979539642
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Bosch",15,,,1229.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Cata",22,2.0,,644.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Electrolux",4,4.0,,1449.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Eleyus",5,,,275.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Elica",59,6.0,,1249.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Ergo",1,,,,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Faber",27,5.0,,769.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Filtero",3,,,199.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Franke",1,,,,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Freggia",6,,,,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Intelite",1,1.0,,239.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Interline",9,8.0,,239.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Minola",3,2.0,,199.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Perfelli",19,11.0,,399.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Pyramida",19,2.0,,359.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Siemens",13,1.0,,2999.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Teka",3,,,,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок WPRO",7,,,199.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок Weilor",5,3.0,,249.0,
"Інтернет магазин,Аксесуари до витяжок,Аксесуари до витяжок ZIRTAL",2,,,167.5,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Bosch",13,1.0,,8299.0,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Caso",10,,,929.0,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Electrolux",9,5.0,,709.0,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Freggia",6,,,,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф GREEN&CLEAN",1,,,,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Kela",2,2.0,2.0,1414.0,46.42662423642251
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Pyramida",2,,,1049.0,
